ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude
ID253199063,8 Kinnane Cr,3,h,830500.0,8/07/2017,1.0,2.0,508.0,69.0,-37.7807,144.83648
ID764854482,9 Banks Pl,3,h,742000.0,26/08/2017,2.0,2.0,375.0,44.0,-37.68415,144.8999
ID765581220,112 Belmore Rd,5,h,3020000.0,28/05/2016,3.0,2.0,715.0,10.0,-37.8028,145.0768
ID364066284,12 Rasmussen Ct,4,h,922000.0,1/07/2017,2.0,2.0,463.0,59.0,-37.73704,144.97959
ID879430645,29 Alfred St,2,h,825000.0,14/05/2016,1.0,0.0,111.0,109.0,-37.835,144.9373
ID911049979,4/31 Cooper St,2,u,707000.0,22/04/2017,1.0,1.0,179.0,5.0,-37.7514,144.8966
ID873374349,35 Dixon St,3,h,2050000.0,4/06/2016,2.0,1.0,231.0,129.0,-37.8607,145.0373
ID552311046,4 Erica St,2,h,1350000.0,27/11/2016,1.0,2.0,181.0,49.0,-37.8549,145.0006
ID882525140,2/102 Bent St,3,t,870000.0,23/04/2016,2.0,2.0,156.0,19.0,-37.7631,144.9357
ID495604577,4 Robinson Gr,5,h,1730000.0,13/05/2017,4.0,4.0,564.0,64.0,-37.7735,145.0936
ID777822828,44 Moorna Dr,4,t,950000.0,12/08/2017,2.0,1.0,255.0,139.0,-37.72572,144.86848
ID450037385,21a Edgar St,3,u,465000.0,4/06/2016,1.0,1.0,225.0,14.0,-37.7068,144.9467
ID626841302,10 Matthews St,3,h,960000.0,15/07/2017,2.0,2.0,655.0,34.0,-37.79352,144.84318000000005
ID624139031,2 Hazel Gr,2,h,915000.0,10/12/2016,1.0,3.0,629.0,44.0,-37.7312,144.9399
ID430390244,28 Wanda Rd,4,h,2830000.0,15/10/2016,2.0,2.0,723.0,109.0,-37.8672,145.0225
ID626452282,3/46 Tibrockney St,2,h,548000.0,17/06/2017,1.0,1.0,0.0,49.0,-37.95037,145.03473
ID154187827,40 Borva Dr,3,h,601200.0,27/06/2016,1.0,1.0,554.0,59.0,-37.7303,144.8636
ID349316169,2/52 Walter St,3,u,500000.0,17/06/2017,1.0,1.0,388.0,27.0,-37.731629999999996,144.80697
ID628404573,353 Waterdale Rd,2,h,855000.0,18/03/2017,1.0,0.0,693.0,59.0,-37.7534,145.0454
ID597744621,124 Carrick Dr,3,h,645000.0,22/07/2017,1.0,1.0,556.0,59.0,-37.695840000000004,144.89379
ID927658476,506/220 Commercial Rd,3,u,1400000.0,4/06/2016,2.0,2.0,0.0,99.0,-37.847,144.9936
ID309627513,54 Princes St,3,h,917000.0,29/04/2017,1.0,0.0,143.0,129.0,-37.7868,144.9336
ID837951228,14 Duncan Ct,4,h,675000.0,8/07/2017,2.0,4.0,744.0,49.0,-37.6815,144.87892
ID486424778,10 Intervale Dr,4,h,790000.0,27/11/2016,2.0,2.0,570.0,24.0,-37.7513,144.859
ID727312850,7/8 The Avenue,1,u,501000.0,16/07/2016,1.0,1.0,0.0,14.0,-37.8571,144.9979
ID385221096,3/907 Dandenong Rd,1,u,300000.0,23/04/2016,1.0,1.0,0.0,6.0,-37.8764,145.0463
ID497096054,77 Union St,2,h,1634000.0,28/08/2016,1.0,2.0,376.0,99.0,-37.7789,144.9952
ID164771215,19 Balcombe St,3,h,555000.0,4/06/2016,1.0,1.0,565.0,79.0,-37.7781,144.8451
ID741595056,1/166 Mitchell St,3,h,673000.0,14/05/2016,1.0,2.0,285.0,109.0,-37.7813,144.8678
ID175434615,16 Vincent St,4,h,3500000.0,7/05/2016,2.0,2.0,859.0,68.0,-37.8625,145.04399999999995
ID465049277,200 Railway Pde,3,h,650000.0,8/07/2017,1.0,1.0,637.0,104.0,-37.97593,145.18931
ID381331942,227a Danks St,3,h,2030000.0,28/08/2016,2.0,0.0,152.0,129.0,-37.8488,144.9551
ID141517261,119 Hughes Pde,3,h,680000.0,16/04/2016,1.0,4.0,527.0,54.0,-37.6983,144.9941
ID515990390,658 Lygon St,2,h,880000.0,18/06/2016,1.0,0.0,142.0,49.0,-37.7911,144.9688
ID987781673,78 Albenca St,5,h,1300000.0,26/08/2017,2.0,2.0,1006.0,49.0,-37.97404,145.07541
ID183972348,50 Home Rd,3,h,1199000.0,25/02/2017,1.0,3.0,506.0,119.0,-37.841,144.8878
ID463179097,4/31 Millers Rd,2,u,391000.0,11/02/2017,1.0,1.0,0.0,54.0,-37.8678,144.8384
ID853031057,171 Essex St,3,h,879000.0,23/09/2017,1.0,2.0,377.0,69.0,-37.79285,144.86969
ID115646478,18 Chapel St,2,h,1015000.0,16/07/2016,1.0,1.0,131.0,129.0,-37.8274,144.9967
ID851656587,17 Birdwood St,1,h,2100000.0,17/06/2017,1.0,1.0,678.0,3.0,-37.80292,145.06423999999996
ID577026905,5/14 Busch St,2,h,450000.0,27/11/2016,1.0,1.0,0.0,39.0,-37.7956,144.8762
ID154102894,9 Cook St,3,h,981000.0,4/06/2016,3.0,2.0,626.0,3.0,-37.76,145.0326
ID675805977,29 Oak St,4,h,3900000.0,27/05/2017,2.0,1.0,595.0,17.0,-37.813959999999994,145.01899
ID942823042,154 Grandview Gr,4,h,1380000.0,8/04/2017,2.0,2.0,607.0,119.0,-37.7334,145.0631
ID269048508,3 Bakers Pde,3,h,1300000.0,27/05/2017,1.0,3.0,484.0,99.0,-37.75416,144.94491000000005
ID126252503,2/72 Dendy St,3,t,1427000.0,18/03/2017,2.0,1.0,313.0,69.0,-37.9206,145.0
ID784674954,31 Boyce Av,3,h,830000.0,12/08/2017,1.0,2.0,905.0,57.0,-37.7063,145.12215
ID475030622,1 Delaware St,2,h,861500.0,13/05/2017,1.0,1.0,419.0,79.0,-37.721,145.016
ID275795195,9A Comas Rd,3,h,1150000.0,23/09/2017,2.0,2.0,335.0,23.0,-37.97316,145.04041999999995
ID962754453,39 Heath St,2,h,900000.0,14/05/2016,1.0,0.0,124.0,119.0,-37.8356,144.9439
ID887136455,156 Patterson Rd,3,h,1110000.0,6/08/2016,1.0,2.0,692.0,79.0,-37.9263,145.04
ID388421314,56a Leinster Gr,3,t,1070000.0,24/09/2016,2.0,2.0,158.0,12.0,-37.7588,144.9881
ID424750185,10 Neil St,4,h,970000.0,8/04/2017,1.0,2.0,528.0,79.0,-37.7969,144.8647
ID288186086,4 Dennis St,3,h,830000.0,16/07/2016,1.0,2.0,671.0,64.0,-37.7187,145.0127
ID206016005,2 Scotchmer St,2,h,1210000.0,15/10/2016,1.0,1.0,223.0,134.0,-37.7829,144.9782
ID157478974,382A Smith St,2,t,931000.0,16/09/2017,1.0,1.0,109.0,18.0,-37.79737,144.98492
ID503204749,11 Cromer Pl,4,h,705000.0,15/07/2017,2.0,3.0,815.0,19.0,-37.71757,144.81328
ID739229370,16 Bottlebrush Rd,4,h,565000.0,12/08/2017,2.0,2.0,482.0,7.0,-37.57416,144.91269
ID867631096,18A Hart St,3,t,730000.0,17/06/2017,1.0,2.0,242.0,9.0,-37.72893,144.88859
ID628108624,2/28 Broadmeadows Rd,2,u,470000.0,15/07/2017,1.0,1.0,161.0,59.0,-37.705859999999994,144.87947
ID419246178,1 Gladesville Dr,5,h,1220000.0,1/07/2017,2.0,2.0,611.0,69.0,-37.93228,145.07026000000005
ID515429643,1 Chisholm St,3,u,726000.0,24/09/2016,1.0,1.0,229.0,23.0,-37.7606,144.8973
ID255215697,1A Wallen St,2,h,1035000.0,27/05/2017,1.0,1.0,542.0,34.0,-37.91704,145.01846
ID117747636,11 Evelyn Ct,4,h,970000.0,19/08/2017,2.0,2.0,364.0,24.0,-37.96853,145.12948
ID508339610,14 Carbine Wy,3,h,675000.0,8/07/2017,2.0,4.0,708.0,44.0,-37.72659,144.79668
ID790721591,3a Irving St,3,h,780000.0,3/09/2016,2.0,2.0,274.0,6.0,-37.7353,144.8907
ID233607449,6 Mandrel St,2,t,505500.0,17/06/2017,1.0,1.0,59.0,5.0,-37.778240000000004,144.87427
ID738594728,4 Toorang Ct,4,h,435000.0,15/07/2017,2.0,2.0,553.0,14.0,-38.08699,145.48273
ID209627085,4 Bennett St,3,h,1390000.0,3/12/2016,1.0,2.0,697.0,79.0,-37.851,145.1169
ID924067489,75 Crisp St,5,h,3201000.0,18/03/2017,3.0,2.0,760.0,84.0,-37.9416,145.0107
ID376297028,8/33 McIntyre St,3,u,746000.0,17/09/2016,1.0,2.0,308.0,24.0,-37.8505,145.1065
ID885287747,2 Oxford St,2,h,892000.0,8/10/2016,1.0,1.0,335.0,59.0,-37.8452,145.0959
ID884772195,5 Flourish Wy,4,h,463000.0,22/07/2017,2.0,2.0,358.0,7.0,-37.91807,144.63816
ID456969768,2/232 Warrigal Rd,3,t,680000.0,3/09/2016,2.0,1.0,189.0,24.0,-37.9122,145.0853
ID779151629,34 Moorna Dr,4,h,978000.0,24/09/2016,3.0,2.0,532.0,44.0,-37.7263,144.869
ID728030818,23 Gardner St,3,t,1012000.0,27/06/2016,2.0,1.0,80.0,59.0,-37.8155,145.0061
ID220216941,6 Rodman St,3,h,905000.0,19/11/2016,1.0,2.0,950.0,59.0,-37.7022,145.0078
ID809724999,10/4 Rae Ct,1,u,500500.0,4/03/2017,1.0,1.0,0.0,74.0,-37.857,145.0027
ID294359757,2/115 Gillies St,2,u,505000.0,7/11/2016,1.0,1.0,0.0,49.0,-37.7755,145.0178
ID832377096,6 Wilson Gr,3,h,1602500.0,18/03/2017,1.0,1.0,405.0,89.0,-37.8448,145.071
ID807147538,24 Flora Gr,3,h,1605000.0,6/08/2016,1.0,1.0,624.0,69.0,-37.7741,145.0506
ID888056709,2/5 Denham St,2,u,762000.0,17/06/2017,1.0,1.0,1583.0,49.0,-37.81857,145.01703999999995
ID717143360,5 MacKenzie St,3,h,1222500.0,10/12/2016,1.0,0.0,331.0,129.0,-37.7619,144.959
ID203558319,4/254 Waverley Rd,2,u,611000.0,22/07/2017,1.0,1.0,161.0,49.0,-37.8837,145.11526
ID400082623,50 Milleara Rd,3,h,850000.0,12/08/2017,1.0,1.0,597.0,69.0,-37.73305,144.86526
ID396877584,13A Queens Pde,3,t,577000.0,27/05/2017,1.0,1.0,164.0,16.0,-37.71976,144.97121
ID687405445,4/77 Pender St,2,u,350000.0,18/06/2016,1.0,1.0,0.0,59.0,-37.7542,145.01
ID616678253,1 Dongola Rd,3,h,935000.0,22/04/2017,1.0,2.0,325.0,94.0,-37.7922,144.8818
ID743112231,54 Sussex St,3,h,890000.0,3/09/2017,1.0,2.0,338.0,113.0,-37.8195,144.88908
ID195737844,3 Dava Ct,4,h,670000.0,3/09/2017,2.0,2.0,729.0,39.0,-37.6927,144.89395
ID582708500,4/118 Rose St,1,t,580000.0,19/08/2017,1.0,1.0,782.0,21.0,-37.796170000000004,144.97982
ID271099422,112 Eureka Dr,4,h,478000.0,8/07/2017,2.0,2.0,400.0,11.0,-37.87047000000001,144.59864
ID875333116,24 Willis St,3,h,1770000.0,28/08/2016,2.0,1.0,720.0,64.0,-37.7938,145.0838
ID543711455,177 Raleigh St,3,h,1750000.0,6/05/2017,1.0,3.0,712.0,8.0,-37.7598,145.0118
ID314620264,6 Douglas St,4,h,1185000.0,27/05/2017,2.0,1.0,625.0,34.0,-37.74301,145.07148999999995
ID180297111,70 Forrest St,3,h,600000.0,22/05/2016,1.0,1.0,697.0,91.0,-37.7842,144.8175
ID777319230,16 Blenheim Rd,3,h,1176000.0,18/06/2016,1.0,2.0,767.0,59.0,-37.8466,144.8636
ID154335040,14/36 Lisson Gr,1,u,560000.0,3/06/2017,1.0,1.0,0.0,49.0,-37.82694,145.03094
ID699602856,5/60 Chomley St,2,u,473000.0,14/05/2016,1.0,1.0,0.0,131.0,-37.8559,145.006
ID952504251,1 Lincoln Wy,4,h,430000.0,23/09/2017,1.0,3.0,675.0,39.0,-37.673629999999996,144.55888000000004
ID183572471,171 Southern Rd,3,h,950000.0,22/04/2017,1.0,3.0,695.0,63.0,-37.7416,145.0406
ID994483469,37 Godfrey St,4,h,2700000.0,4/06/2016,3.0,2.0,628.0,19.0,-37.9155,145.0401
ID415661175,2/166 Mitchell St,4,t,821000.0,29/07/2017,3.0,2.0,294.0,5.0,-37.78133,144.86768
ID151641842,20 Dalston Rd,3,h,1340000.0,3/12/2016,1.0,1.0,705.0,99.0,-37.8994,145.0816
ID519017660,27 Moore St,3,h,800000.0,28/08/2016,1.0,1.0,207.0,109.0,-37.7687,144.9203
ID717280762,23 Morden Ct,4,h,1570000.0,27/05/2017,2.0,1.0,746.0,119.0,-37.826029999999996,145.1721
ID862138876,58 Kernot St,4,t,915000.0,16/04/2016,3.0,1.0,662.0,3.0,-37.8307,144.8725
ID976276221,106/360 Lygon St,2,u,480000.0,28/05/2016,2.0,1.0,0.0,79.0,-37.7679,144.9725
ID405286306,36a Barrington St,3,t,780000.0,28/08/2016,2.0,1.0,209.0,7.0,-37.9131,145.07
ID971370181,1231 North Rd,4,h,991000.0,18/03/2017,1.0,2.0,683.0,44.0,-37.9107,145.0975
ID818058901,24 Sunnyside Rd,3,h,2000000.0,1/07/2017,1.0,2.0,1028.0,54.0,-37.89757,145.11825
ID392803356,42 Grant St,3,h,1500000.0,8/04/2017,1.0,1.0,230.0,119.0,-37.788000000000004,144.9967
ID584394421,74 Dudley St,4,h,1900000.0,15/07/2017,1.0,2.0,168.0,6.0,-37.808840000000004,144.95291
ID952009790,5 Jessie St,4,h,1001000.0,30/07/2016,2.0,2.0,581.0,79.0,-37.7905,144.8414
ID645629939,17 Rusden St,4,h,1500000.0,30/07/2016,2.0,1.0,549.0,29.0,-37.8869,144.9982
ID125330977,196 Blyth St,5,h,1480000.0,13/05/2017,3.0,4.0,725.0,39.0,-37.8712,144.8107
ID145502960,53 Rankins Rd,2,h,990000.0,3/06/2017,1.0,0.0,165.0,89.0,-37.7902,144.93192
ID829536081,639 Punt Rd,4,h,1855500.0,8/07/2017,2.0,1.0,176.0,139.0,-37.839859999999994,144.98598
ID844458601,9 Edith Ct,3,h,1290000.0,12/08/2017,1.0,2.0,537.0,6.0,-37.92445,145.06824
ID535855167,6 Aberdeen Rd,3,h,1390000.0,19/08/2017,2.0,1.0,125.0,17.0,-37.85257,145.00296
ID718432601,20 Greig St,3,h,881000.0,18/06/2016,1.0,2.0,217.0,129.0,-37.8075,144.8909
ID597453619,117 Brees Rd,3,h,976000.0,12/11/2016,3.0,2.0,605.0,39.0,-37.7459,144.8788
ID687955790,35 Adrian St,5,h,2400000.0,30/07/2016,3.0,2.0,709.0,89.0,-37.8529,145.0806
ID581626815,9/3 Gordon St,1,u,240000.0,17/06/2017,1.0,1.0,1015.0,49.0,-37.78778,144.89037
ID310106329,28 Guildford Rd,3,h,2009000.0,3/09/2016,1.0,2.0,843.0,19.0,-37.821999999999996,145.0897
ID407131104,2/67 Nimmo St,2,u,645000.0,27/06/2016,1.0,1.0,170.0,25.0,-37.7475,144.8959
ID274877070,25 High St,3,h,895000.0,29/04/2017,1.0,2.0,775.0,69.0,-37.7075,145.0807
ID720794042,12/32 Argyle St,2,h,438000.0,8/10/2016,1.0,2.0,0.0,49.0,-37.7952,144.8749
ID854277194,1/30 Grenville St,2,u,895000.0,3/09/2016,1.0,1.0,228.0,44.0,-37.9355,145.0008
ID944718168,3/19 Herbert St,2,u,520000.0,10/09/2016,1.0,1.0,1034.0,69.0,-37.8717,144.9829
ID252450831,4 Holberry St,3,h,560000.0,22/07/2017,1.0,1.0,639.0,59.0,-37.69142,144.93025
ID692778292,2/37 Thomas St,2,u,600800.0,29/07/2017,1.0,1.0,1625.0,59.0,-37.84237,145.09257
ID403154013,6/1 Monaro Rd,2,h,1290000.0,15/10/2016,2.0,2.0,0.0,29.0,-37.8407,145.0343
ID676920767,316/145 Roden St,1,u,295000.0,29/04/2017,1.0,1.0,0.0,6.0,-37.8084,144.9473
ID888094149,26 Howitt St,2,u,851000.0,20/05/2017,1.0,1.0,284.0,139.0,-37.8471,145.0019
ID688762007,98 Barkly St,4,h,1900000.0,10/09/2016,2.0,1.0,227.0,7.0,-37.7776,144.9726
ID487081089,70 Anderson St,3,h,1262000.0,16/09/2017,2.0,2.0,343.0,39.0,-37.844609999999996,144.87515
ID834646259,9 Mill Ct,4,h,1200000.0,27/05/2017,3.0,3.0,858.0,7.0,-37.91874,145.19156999999996
ID233220303,10 Wallara Rd,3,h,390000.0,3/06/2017,1.0,2.0,530.0,32.0,-37.901109999999996,144.63302
ID950220030,185 Moreland Rd,1,h,482500.0,23/04/2016,1.0,1.0,108.0,99.0,-37.7554,144.9648
ID640925319,4 Merrill Cr,3,h,790000.0,3/09/2017,2.0,2.0,659.0,32.0,-37.77473,145.26256
ID582708500,4/118 Rose St,1,t,580000.0,19/08/2017,1.0,1.0,782.0,21.0,-37.796170000000004,144.97982
ID795188244,5/576 Glenferrie Rd,2,u,418000.0,7/11/2016,1.0,0.0,1056.0,129.0,-37.8261,145.0349
ID442741354,29/100 Commercial Rd,3,u,750000.0,4/06/2016,2.0,2.0,0.0,15.0,-37.8453,144.9849
ID532663563,34 Green St,2,h,1000000.0,8/10/2016,1.0,0.0,146.0,139.0,-37.8274,144.9947
ID715435292,6/20 Denmark Hill Rd,1,u,441000.0,27/05/2017,1.0,0.0,0.0,59.0,-37.8327,145.05428
ID791833084,74 Lincoln Dr,4,h,845000.0,4/06/2016,1.0,1.0,622.0,54.0,-37.7425,144.8683
ID518006402,45 Albert St,2,h,769000.0,18/06/2016,1.0,1.0,265.0,49.0,-37.853,144.8928
ID252138451,90 Murray Rd,2,h,799900.0,10/12/2016,1.0,2.0,460.0,44.0,-37.7397,145.0209
ID321248815,470 Waterdale Rd,3,h,631000.0,30/07/2016,1.0,1.0,596.0,59.0,-37.7432,145.0479
ID320521468,14 Moore St,2,h,1214000.0,8/04/2017,1.0,0.0,161.0,119.0,-37.8454,144.9891
ID856326394,42a Essex Rd,4,h,1725000.0,18/06/2016,2.0,2.0,798.0,44.0,-37.8308,145.0916
ID858342938,4 Wynnewood Ct,5,h,2330000.0,12/08/2017,2.0,2.0,862.0,24.0,-37.75571,145.15521
ID698636158,146 Elizabeth St,3,h,2000000.0,24/09/2016,1.0,1.0,973.0,5.0,-37.7284,144.9843
ID802990694,87A Wyong St,3,h,635000.0,8/04/2017,2.0,1.0,162.0,4.0,-37.7308,144.8664
ID547788958,68 Bournian Av,4,h,1625000.0,23/09/2017,3.0,2.0,224.0,69.0,-37.73545,144.92164
ID902432565,44 Devereaux St,3,h,706000.0,7/11/2016,1.0,0.0,715.0,59.0,-37.7143,144.9092
ID538557812,5/1 Dargi Grn,3,t,360000.0,8/07/2017,1.0,1.0,0.0,10.0,-37.70624,144.74042
ID475358192,117 Charles St,3,h,1255000.0,28/05/2016,1.0,1.0,231.0,109.0,-37.8467,144.9894
ID739552538,61/88 Wells St,3,u,720000.0,30/07/2016,2.0,1.0,0.0,19.0,-37.8273,144.9685
ID867882734,192 Haughton Rd,3,h,1265000.0,24/06/2017,1.0,1.0,743.0,59.0,-37.91282,145.10376000000005
ID717599736,14 Kawarren St,4,h,1750000.0,4/03/2017,2.0,2.0,673.0,59.0,-37.7856,145.0918
ID214120030,3 Thorpdale Av,3,h,457000.0,3/09/2017,1.0,2.0,551.0,44.0,-37.65532,144.93393
ID453727886,2 Bonar St,3,h,994000.0,10/12/2016,2.0,2.0,807.0,69.0,-37.7453,145.0559
ID263459444,19 Hedderwick St,4,h,1250000.0,25/02/2017,2.0,2.0,644.0,69.0,-37.7997,145.0993
ID295701265,4 Norris St,4,h,2860000.0,7/11/2016,2.0,2.0,779.0,5.0,-37.8185,145.0878
ID858864608,34 Martin St,4,h,1031000.0,22/05/2016,1.0,1.0,570.0,79.0,-37.7523,145.0604
ID251889486,13 Tennyson St,3,h,1080000.0,19/08/2017,1.0,2.0,652.0,44.0,-37.95422,145.054
ID590782094,8 Banool Ct,4,h,932000.0,1/07/2017,2.0,2.0,880.0,49.0,-37.79587,145.2683
ID696373231,17 Prospect St,3,h,880000.0,27/06/2016,2.0,2.0,588.0,59.0,-37.7283,144.9356
ID983389484,14 Rowan Dr,3,h,570000.0,29/04/2017,1.0,2.0,557.0,39.0,-37.7279,144.8224
ID941009986,2 Dundas Pl,3,h,2615000.0,10/12/2016,2.0,1.0,177.0,139.0,-37.8415,144.9585
ID301717111,16/341 Heidelberg Rd,2,u,471250.0,29/04/2017,1.0,1.0,1000.0,94.0,-37.7836,145.0139
ID417179382,15 Stanley St,3,h,980000.0,4/03/2017,2.0,3.0,1029.0,69.0,-37.7115,144.9147
ID888787783,5 Reys Cl,4,h,1285000.0,16/09/2017,2.0,4.0,656.0,39.0,-38.00394,145.1025
ID816294964,55 Withers St,4,h,2800000.0,18/06/2016,3.0,1.0,327.0,109.0,-37.8467,144.9475
ID966497287,21 Roberts St,3,t,899000.0,7/05/2016,2.0,1.0,116.0,12.0,-37.7667,144.9821
ID540232661,54 Marshall Rd,3,h,720000.0,6/08/2016,1.0,1.0,620.0,8.0,-37.7173,144.8872
ID113987966,11 Woolnough Dr,3,h,602000.0,8/07/2017,1.0,1.0,546.0,42.0,-37.65359,145.04276000000004
